Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.489,36.902,37.326,37.768,38.233,38.734,39.281,39.877,40.522,41.212,41.946,42.72,43.521,44.33,45.129,45.9,46.628,47.302,47.911,48.442,48.886,49.24,49.507,49.694,49.799,49.823,49.761,49.619,49.402,49.118,48.767,48.35,47.873,47.352,46.807,46.252,45.7,45.166,44.675,44.254,43.937,43.755,43.718,43.827,44.08,44.466,44.967,45.552,46.19,46.862,47.56,48.284,49.041,49.825,50.621
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.1331707,71.3460976,71.3670732,71.3807317,71.7763415,71.8721951,72.0043902,72.2078049,72.3534146,72.5014634,72.7004878,73.0292683,72.9339024,73.1626829,73.237561,73.5217073,73.8560976,74.2156098,74.5297561,74.8663415,75.0780488,75.4785366,75.6804878,76.0363415,76.317561,76.3034146,76.44,76.7395122,76.8092683,77.0656098,77.3770732,77.5534146,77.3207317,77.685122,77.8619512,77.977561,78.2304878,78.4804878,78.662439,78.8829268,79.2365854,79.4878049,79.5902439,79.8390244,80.1414634,80.2926829,80.2926829,80.5439024,80.695122,80.9463415,81.197561,81.4487805,81.5835122,81.7720488,81.9530488
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.821395,68.2620442,68.006775,68.6958697,69.0522764,69.2768216,69.5270082,69.2727354,69.5360584,69.2757977,69.4469708,69.485129,69.9253677,70.0676967,70.3058739,70.1744055,70.3191411,70.2422408,70.147839,70.2393548,69.8902129,70.3714696,70.4551337,70.389611,70.3490176,70.312757,70.5649221,70.6117653,70.8617184,70.7319696,70.6563673,70.5726077,70.7323479,70.8462296,70.8695268,71.0258932,71.3354652,71.5175893,71.8981183,72.1847346,72.7196904,73.0979929,73.2443136,73.3838287,73.7394039,73.8400467,74.0947248,74.2523833,74.577539,74.9318257,75.2953487,75.8884749,75.9934886,76.355163,76.6854764
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.3134146,71.644878,71.1960976,71.187561,72.0778049,72.2017073,72.3356098,72.6365854,72.5902439,72.6126829,73.0202439,73.1307317,73.6443902,73.9409756,74.2870732,74.6656098,74.7853659,75.2380488,75.1873171,75.4660976,75.4592683,75.6931707,76.0339024,76.0312195,76.6085366,76.7336585,76.8990244,77.197561,77.2265854,77.4212195,77.242439,77.5146341,77.8060976,78.0853659,78.35,78.4170732,78.8960976,79.0795122,79.3243902,79.5804878,79.6804878,80.1804878,80.3853659,80.5365854,81.0878049,81.2365854,81.4902439,81.7414634,81.9926829,82.0439024,82.2463415,82.695122,82.697561,82.797561,83.197561
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.739,70.833,70.928,71.03,71.143,71.265,71.391,71.512,71.623,71.726,71.823,71.919,72.02,72.133,72.261,72.409,72.58,72.773,72.983,73.208,73.439,73.668,73.89,74.101,74.3,74.49,74.678,74.871,75.074,75.287,75.507,75.726,75.94,76.143,76.338,76.528,76.719,76.918,77.13,77.358,77.602,77.864,78.137,78.417,78.699,78.975,79.241,79.493,79.729,79.947,80.145,80.326,80.494,80.654,80.807
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.285,57.682,58.097,58.533,58.993,59.479,59.994,60.536,61.104,61.696,62.311,62.95,63.609,64.283,64.967,65.658,66.355,67.052,67.744,68.422,69.074,69.69,70.265,70.798,71.288,71.739,72.157,72.553,72.936,73.311,73.68,74.042,74.394,74.733,75.059,75.374,75.678,75.974,76.259,76.533,76.793,77.034,77.255,77.453,77.632,77.791,77.934,78.066,78.193,78.32,78.454,78.599,78.758,78.931,79.117
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.725,44.051,44.783,45.972,47.592,49.549,51.696,53.847,55.843,57.603,59.085,60.303,61.344,62.281,63.134,63.915,64.631,65.278,65.857,66.377,66.843,67.256,67.618,67.933,68.21,68.451,68.661,68.842,69.002,69.15,69.293,69.437,69.587,69.75,69.935,70.156,70.427,70.747,71.115,71.521,71.955,72.401,72.84,73.257,73.642,73.987,74.291,74.562,74.808,75.032,75.236,75.425,75.602,75.769,75.932
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.865,37.554,38.223,38.866,39.488,40.103,40.736,41.406,42.125,42.89,43.695,44.526,45.357,46.166,46.94,47.668,48.346,48.979,49.57,50.115,50.616,51.079,51.503,51.885,52.215,52.484,52.677,52.786,52.798,52.706,52.486,52.117,51.605,50.975,50.259,49.501,48.746,48.043,47.438,46.969,46.672,46.567,46.637,46.856,47.205,47.658,48.183,48.747,49.321,49.883,50.423,50.945,51.463,51.989,52.52
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.546,41.988,42.429,42.868,43.304,43.741,44.184,44.64,45.111,45.598,46.104,46.627,47.163,47.705,48.247,48.784,49.311,49.825,50.318,50.781,51.211,51.604,51.958,52.266,52.518,52.698,52.787,52.781,52.68,52.49,52.209,51.835,51.39,50.91,50.433,50.015,49.708,49.543,49.538,49.7,50.026,50.495,51.059,51.671,52.301,52.916,53.494,54.033,54.535,54.996,55.424,55.832,56.241,56.665,57.111
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.098,41.312,41.529,41.755,41.995,42.257,42.549,42.868,43.208,43.563,43.915,44.247,44.545,44.804,45.026,45.222,45.41,45.609,45.833,46.086,46.363,46.651,46.937,47.208,47.461,47.705,47.955,48.221,48.502,48.787,49.043,49.225,49.311,49.302,49.22,49.111,49.04,49.066,49.233,49.557,50.041,50.667,51.385,52.144,52.917,53.675,54.401,55.091,55.743,56.35,56.907,57.418,57.894,58.347,58.782
